ID	taskID	catalogNumber	country	eventDate	eventID	fieldNotes	fieldNumber	locationID	relatedResourceID	scientificName	stateProvince	transcriberNotes	validatorNotes	verbatimElevation	verbatimLatitude	verbatimLocality	verbatimLocalityID	verbatimLongitude	collector1	collector2	collector3	collector4
1	2646778	1193522	Mexico	1912-08		464480	5881		01193522.jpg	Passiflora rovirosae	Veracruz-Llave		no external id			Misantla			"Purpus, C. A."			
2	2647404	1187454	Honduras	8/31/1968		3571594	22508			Passiflora platyloba	Ocotepeque		unable to confirm Antiguo in Ocotepeque.	800 m.		Along road vicinity of Antiguo Ocotepeque			"Molina, Antonio R."			
3	2647414	1187458	El Salvador	5/14/1922		1151663	705			Passiflora platyloba	San Salvador	"Plant is listed as Passiflora platyloba Killip\n“Granadilla"" Fr. very acid, hard shell, 3 - 3.5 cm in diam. \nSpecimen is cited in Killip monograph"				San Martin			"Calderón, Salvador"			
4	2647424	1187462	Costa Rica	6/28/1930		1593699	12704			Passiflora platyloba	Guanacaste	confirmed collector Brenes		275-300 m.		Tilaran			Brenes			
5	2647434	1187466	Guatemala	12/7/1939		1800386	32884			Passiflora pterocarpa	Jalapa	Details from high res. image.		1500-2000 m.		Between Jalapa and Montana Miramundo			"Steyermark, Julian A."			
6	2647444	1187470	Panama	3/6/1923		1166364	5842			Passiflora seemannii	Colon					"Rio Agua Salud, near Frijoles, Canal Zone."			"Piper, C. V."			
7	2647454	1187474	Mexico	1896-02-22		253546	3827			Passiflora seemannii	Chiapas			500-2000 ft.		Near Huehuetan			"Nelson, E. W."			
8	2647464	1187478	Panama	2/12/1911		675134	4765			Passiflora seemannii	Colón	Cited in Killip Monograph\n! E.P.K. -1920-\n\nCollection date is blurred and difficult to read		10 to 20 meters		"Climbing in shrubs. Alluvial bottom near Bohio, Canal Zone."			"Maxon, William R."			
9	2647474	1187482	Panama	1/11/1924		1225451	30634			Passiflora seemannii	Panamá					Juan Díaz			"Standley, Paul C."			
10	2647484	1187486	Panama	8/11/1958		2366575	5042			Passiflora seemannii	Panama	Additional reference number on label: SI-SZBA-452				"Barro Colorado Island, Canal Zone"			Zetak			
